file,instance,opt_value,gap_genetic,gap_greedy,gap_surrogate,gap_rech_local_greedy,gap_rech_local_surrogate
mknapcb2,7,61472.0,0.04748503383654347,0.04945340968245705,0.08169573138990109,0.04945340968245705,0.014966163456533055
mknapcb2,8,61885.0,0.05586167892057849,0.024690959036923324,0.03351377555142603,0.024690959036923324,0.016482184697422637
mknapcb2,9,58959.0,0.04240234739395173,0.041791753591478825,0.08534744483454604,0.041791753591478825,0.013178649570040198
mknapcb2,10,109109.0,0.053836072184696035,0.039107681309516175,0.05275458486467661,0.039107681309516175,0.0070021721397868185
mknapcb2,11,109841.0,0.09797798636210522,0.011188900319552808,0.03267450223504884,0.011188900319552808,0.006809843318979252
mknapcb2,12,108489.0,0.08332642019006535,0.006092783600180664,0.027385264865562406,0.006092783600180664,0.0033643963904174618
mknapcb2,13,109383.0,0.07416143276377499,0.014883482808114606,0.03195194865746963,0.014883482808114606,0.005759578727955898
mknapcb2,14,110720.0,0.05979046242774567,0.011651011560693642,0.029470736994219652,0.011651011560693642,0.007478323699421965
mknapcb2,15,110256.0,0.09759106080394718,0.0248059062545349,0.04412458278914526,0.0248059062545349,0.010330503555362067
mknapcb2,16,109016.0,0.07860314082336538,0.01893300066045351,0.02949108387759595,0.01893300066045351,0.00820980406545828
mknapcb2,17,109037.0,0.08722727147665471,0.02711923475517485,0.04262773187083284,0.02711923475517485,0.00693342626814751
mknapcb2,18,109957.0,0.08296879689333103,0.02011695480960739,0.02011695480960739,0.02011695480960739,0.00937639258983057
mknapcb2,19,107038.0,0.07304882378220819,0.025897344868177657,0.05348567798351987,0.025897344868177657,0.010267381677535081
mknapcb2,20,149659.0,0.011780113457927689,0.014773585283878685,0.017693556685531776,0.014773585283878685,0.005465758825062309
mknapcb2,21,155940.0,0.014640246248557138,0.006707708092856227,0.013703988713607798,0.006707708092856227,0.005534179812748493
mknapcb2,22,149316.0,0.02292453588362935,0.01727879128827453,0.026433871788689757,0.01727879128827453,0.0037169492887567305
mknapcb2,23,152130.0,0.018852297377243147,0.00824295010845987,0.012962597778216,0.00824295010845987,0.002511010320120949
mknapcb2,24,150353.0,0.01770500089788697,0.016221824639348733,0.02188183807439825,0.016221824639348733,0.003478480642221971
mknapcb2,25,150045.0,0.0157086207471092,0.017068212869472493,0.026638675064147424,0.017068212869472493,0.0032123696224465995
mknapcb2,26,148607.0,0.023114658125121965,0.014992564280282894,0.018188914384921304,0.014992564280282894,0.0033914956899742275
